account_id,customer_segment
1123,Potential Loyalists
1124,Champions
1126,Risky Customers
1127,Potential Loyalists
1129,Potential Loyalists
1130,Champions
1131,Leaving Customers
1132,Potential Loyalists
1133,Potential Loyalists
1136,Potential Loyalists
1138,Leaving Customers
1145,Leaving Customers
1153,Potential Loyalists
1161,Leaving Customers
1164,Champions
1177,Champions
1180,Risky Customers
1182,Champions
1184,Leaving Customers
1185,Champions
1186,Leaving Customers
1190,Potential Loyalists
1192,Risky Customers
1193,Leaving Customers
1194,Leaving Customers
1195,Potential Loyalists
1196,Risky Customers
1200,Potential Loyalists
1202,Potential Loyalists
1203,Potential Loyalists
1206,Risky Customers
1210,Champions
1212,Potential Loyalists
1215,Risky Customers
1216,Potential Loyalists
1220,Champions
1222,Leaving Customers
1223,Potential Loyalists
1224,Champions
1228,Champions
1231,Leaving Customers
1234,Potential Loyalists
1240,Risky Customers
1243,Leaving Customers
1244,Risky Customers
1245,Risky Customers
1246,Champions
1248,Risky Customers
1250,Leaving Customers
1251,Champions
1252,Risky Customers
1255,Champions
1256,Risky Customers
1257,Risky Customers
1258,Champions
1260,Risky Customers
1263,Champions
1265,Risky Customers
1266,Potential Loyalists
1267,Risky Customers
1274,Potential Loyalists
1275,Champions
1278,Potential Loyalists
1279,Risky Customers
1280,Risky Customers
1281,Potential Loyalists
1284,Champions
1285,Potential Loyalists
1287,Potential Loyalists
1288,Risky Customers
1291,Risky Customers
1294,Risky Customers
1295,Potential Loyalists
1297,Potential Loyalists
1299,Potential Loyalists
1300,Risky Customers
1301,Champions
1305,Potential Loyalists
1311,Leaving Customers
1316,Risky Customers
1318,Champions
1322,Risky Customers
1325,Potential Loyalists
1326,Leaving Customers
1327,Risky Customers
1329,Potential Loyalists
1330,Potential Loyalists
1333,Risky Customers
1335,Leaving Customers
1336,Potential Loyalists
1337,Risky Customers
1339,Risky Customers
1340,Champions
1341,Risky Customers
1342,Risky Customers
1343,Potential Loyalists
1346,Potential Loyalists
1347,Potential Loyalists
1349,Potential Loyalists
1354,Potential Loyalists
1355,Champions
1356,Champions
1357,Potential Loyalists
1360,Potential Loyalists
1361,Champions
1364,Potential Loyalists
1368,Champions
1369,Risky Customers
1370,Potential Loyalists
1371,Risky Customers
1372,Leaving Customers
1373,Potential Loyalists
1374,Champions
1376,Champions
1377,Potential Loyalists
1379,Potential Loyalists
1384,Risky Customers
1385,Risky Customers
1386,Leaving Customers
1387,Champions
1391,Potential Loyalists
1392,Risky Customers
1393,Champions
1396,Leaving Customers
1398,Champions
1400,Potential Loyalists
1403,Risky Customers
1406,Potential Loyalists
1407,Leaving Customers
1411,Risky Customers
1412,Risky Customers
1413,Potential Loyalists
1415,Risky Customers
1417,Potential Loyalists
1419,Champions
1420,Risky Customers
1421,Champions
1422,Leaving Customers
1423,Leaving Customers
1424,Potential Loyalists
1426,Leaving Customers
1427,Potential Loyalists
1428,Potential Loyalists
1429,Potential Loyalists
1431,Potential Loyalists
1436,Potential Loyalists
1437,Potential Loyalists
1438,Potential Loyalists
1440,Champions
1442,Potential Loyalists
1443,Potential Loyalists
1446,Champions
1447,Champions
1448,Potential Loyalists
1449,Champions
1450,Risky Customers
1451,Potential Loyalists
1454,Leaving Customers
1456,Leaving Customers
1457,Potential Loyalists
1460,Potential Loyalists
1461,Potential Loyalists
1462,Leaving Customers
1464,Potential Loyalists
1470,Champions
1472,Potential Loyalists
1473,Risky Customers
1474,Champions
1475,Champions
1476,Risky Customers
1477,Potential Loyalists
1478,Potential Loyalists
1479,Risky Customers
1483,Champions
1484,Potential Loyalists
1487,Risky Customers
1488,Risky Customers
1489,Potential Loyalists
1490,Risky Customers
1491,Potential Loyalists
1492,Leaving Customers
1493,Potential Loyalists
1494,Potential Loyalists
1499,Champions
1500,Champions
1501,Potential Loyalists
1502,Risky Customers
1503,Leaving Customers
1504,Potential Loyalists
1505,Champions
1506,Potential Loyalists
1508,Potential Loyalists
1509,Champions
1512,Potential Loyalists
1513,Potential Loyalists
1514,Potential Loyalists
1516,Champions
1517,Risky Customers
1518,Risky Customers
1521,Potential Loyalists
1523,Champions
1524,Potential Loyalists
1525,Potential Loyalists
1526,Champions
1527,Champions
1528,Champions
1529,Risky Customers
1530,Potential Loyalists
1531,Potential Loyalists
1532,Risky Customers
1533,Risky Customers
1534,Potential Loyalists
1535,Potential Loyalists
1536,Potential Loyalists
1537,Risky Customers
1538,Potential Loyalists
1539,Potential Loyalists
1542,Leaving Customers
1543,Champions
1546,Potential Loyalists
1547,Potential Loyalists
1548,Potential Loyalists
1553,Potential Loyalists
1555,Potential Loyalists
1556,Potential Loyalists
1557,Potential Loyalists
1558,Risky Customers
1559,Champions
1560,Champions
1561,Potential Loyalists
1562,Risky Customers
1563,Leaving Customers
1564,Potential Loyalists
1565,Champions
1566,Potential Loyalists
1567,Leaving Customers
1568,Potential Loyalists
1571,Risky Customers
1572,Risky Customers
1574,Potential Loyalists
1575,Potential Loyalists
1576,Leaving Customers
1577,Champions
1578,Champions
1579,Potential Loyalists
1584,Potential Loyalists
1585,Potential Loyalists
1587,Potential Loyalists
1588,Champions
1590,Champions
1593,Champions
1594,Potential Loyalists
1597,Champions
1598,Potential Loyalists
1599,Champions
1600,Potential Loyalists
1601,Potential Loyalists
1606,Potential Loyalists
1608,Risky Customers
1611,Risky Customers
1613,Leaving Customers
1614,Potential Loyalists
1616,Potential Loyalists
1619,Champions
1620,Champions
1621,Potential Loyalists
1622,Potential Loyalists
1623,Potential Loyalists
1624,Leaving Customers
1625,Risky Customers
1626,Potential Loyalists
1628,Risky Customers
1629,Risky Customers
1630,Champions
1631,Risky Customers
1632,Risky Customers
1634,Risky Customers
1635,Champions
1637,Risky Customers
1638,Potential Loyalists
1641,Champions
1643,Champions
1644,Champions
1645,Potential Loyalists
1646,Champions
1647,Potential Loyalists
1649,Risky Customers
1652,Champions
1653,Potential Loyalists
1654,Risky Customers
1657,Champions
1658,Risky Customers
1659,Potential Loyalists
1660,Champions
1661,Champions
1663,Risky Customers
1665,Champions
1666,Potential Loyalists
1667,Potential Loyalists
1668,Risky Customers
1669,Potential Loyalists
1670,Risky Customers
1673,Potential Loyalists
1674,Potential Loyalists
1676,Potential Loyalists
1677,Risky Customers
1678,Leaving Customers
1680,Risky Customers
1684,Potential Loyalists
1685,Leaving Customers
1686,Potential Loyalists
1688,Risky Customers
1689,Potential Loyalists
1690,Potential Loyalists
1691,Champions
1693,Potential Loyalists
1694,Risky Customers
1695,Risky Customers
1696,Potential Loyalists
1697,Potential Loyalists
1698,Risky Customers
1701,Potential Loyalists
1702,Potential Loyalists
1703,Champions
1704,Leaving Customers
1705,Risky Customers
1706,Risky Customers
1707,Champions
1708,Potential Loyalists
1710,Risky Customers
1712,Potential Loyalists
1714,Potential Loyalists
1718,Potential Loyalists
1720,Potential Loyalists
1723,Champions
1724,Potential Loyalists
1726,Potential Loyalists
1728,Risky Customers
1729,Potential Loyalists
1730,Potential Loyalists
1731,Champions
1732,Risky Customers
1735,Potential Loyalists
1736,Risky Customers
1737,Potential Loyalists
1739,Risky Customers
1740,Leaving Customers
1741,Potential Loyalists
1742,Risky Customers
1743,Potential Loyalists
1745,Leaving Customers
1747,Potential Loyalists
1749,Champions
1752,Potential Loyalists
1753,Potential Loyalists
1755,Potential Loyalists
1757,Leaving Customers
1758,Potential Loyalists
1759,Potential Loyalists
1761,Risky Customers
1762,Potential Loyalists
1763,Potential Loyalists
1764,Champions
1767,Champions
1769,Risky Customers
1770,Potential Loyalists
1771,Leaving Customers
1772,Potential Loyalists
1773,Potential Loyalists
1775,Potential Loyalists
1777,Leaving Customers
1778,Potential Loyalists
1779,Leaving Customers
1781,Potential Loyalists
1782,Potential Loyalists
1783,Leaving Customers
1785,Risky Customers
1787,Potential Loyalists
1788,Leaving Customers
1791,Risky Customers
1792,Potential Loyalists
1793,Champions
1796,Potential Loyalists
1797,Champions
1799,Leaving Customers
1800,Risky Customers
1801,Potential Loyalists
1802,Potential Loyalists
1803,Risky Customers
1804,Risky Customers
1807,Leaving Customers
1808,Potential Loyalists
1809,Leaving Customers
1810,Potential Loyalists
1812,Leaving Customers
1813,Leaving Customers
1814,Potential Loyalists
1815,Champions
1816,Risky Customers
1817,Leaving Customers
1818,Leaving Customers
1820,Potential Loyalists
1821,Potential Loyalists
1822,Potential Loyalists
1823,Potential Loyalists
1825,Risky Customers
1826,Potential Loyalists
1827,Risky Customers
1828,Risky Customers
1829,Leaving Customers
1830,Potential Loyalists
1831,Champions
1832,Champions
1833,Potential Loyalists
1836,Potential Loyalists
1837,Potential Loyalists
1838,Risky Customers
1839,Risky Customers
1840,Potential Loyalists
1841,Potential Loyalists
1842,Potential Loyalists
1843,Potential Loyalists
1844,Potential Loyalists
1845,Potential Loyalists
1847,Leaving Customers
1848,Potential Loyalists
1850,Champions
1851,Potential Loyalists
1852,Potential Loyalists
1853,Potential Loyalists
1854,Risky Customers
1855,Potential Loyalists
1856,Risky Customers
1857,Leaving Customers
1858,Leaving Customers
1859,Potential Loyalists
1860,Risky Customers
1861,Champions
1862,Risky Customers
1868,Potential Loyalists
1869,Leaving Customers
1872,Leaving Customers
1873,Champions
1874,Risky Customers
1875,Champions
1876,Champions
1877,Potential Loyalists
1878,Champions
1880,Champions
1881,Risky Customers
1882,Potential Loyalists
1883,Champions
1884,Potential Loyalists
1885,Risky Customers
1886,Leaving Customers
1887,Leaving Customers
1888,Risky Customers
1889,Risky Customers
1890,Leaving Customers
1891,Champions
1892,Potential Loyalists
1893,Potential Loyalists
1894,Risky Customers
1895,Potential Loyalists
1896,Risky Customers
1897,Potential Loyalists
1900,Potential Loyalists
1901,Potential Loyalists
1903,Risky Customers
1904,Champions
1905,Potential Loyalists
1906,Potential Loyalists
1907,Potential Loyalists
1908,Potential Loyalists
1911,Potential Loyalists
1912,Potential Loyalists
1913,Potential Loyalists
1915,Potential Loyalists
1916,Champions
1918,Champions
1919,Potential Loyalists
1920,Champions
1921,Risky Customers
1922,Leaving Customers
1923,Potential Loyalists
1924,Champions
1926,Potential Loyalists
1928,Potential Loyalists
1929,Risky Customers
1930,Potential Loyalists
1931,Potential Loyalists
1933,Champions
1934,Champions
1936,Potential Loyalists
1937,Leaving Customers
1939,Champions
1940,Risky Customers
1942,Risky Customers
1944,Champions
1945,Champions
1946,Risky Customers
1947,Risky Customers
1949,Potential Loyalists
1950,Leaving Customers
1951,Potential Loyalists
1952,Potential Loyalists
1953,Champions
1954,Risky Customers
1956,Champions
1957,Risky Customers
1961,Potential Loyalists
1962,Risky Customers
1963,Champions
1964,Potential Loyalists
1965,Risky Customers
1967,Potential Loyalists
1969,Champions
1970,Potential Loyalists
1971,Potential Loyalists
1972,Potential Loyalists
1973,Champions
1974,Potential Loyalists
1975,Champions
1976,Potential Loyalists
1977,Champions
1980,Potential Loyalists
1981,Champions
1982,Risky Customers
1983,Risky Customers
1986,Champions
1990,Champions
1992,Risky Customers
1993,Champions
1995,Potential Loyalists
1996,Potential Loyalists
1997,Champions
1998,Potential Loyalists
2000,Potential Loyalists
2001,Champions
2002,Leaving Customers
2003,Leaving Customers
2004,Champions
2005,Champions
2006,Potential Loyalists
2007,Risky Customers
2008,Risky Customers
2009,Leaving Customers
2010,Potential Loyalists
2011,Leaving Customers
2012,Risky Customers
2014,Potential Loyalists
2015,Leaving Customers
2016,Potential Loyalists
2018,Leaving Customers
2019,Potential Loyalists
2020,Potential Loyalists
2021,Champions
2023,Risky Customers
2024,Risky Customers
2025,Leaving Customers
2026,Risky Customers
2027,Champions
2030,Potential Loyalists
2031,Potential Loyalists
2032,Potential Loyalists
2035,Risky Customers
2038,Risky Customers
2039,Champions
2040,Potential Loyalists
2041,Leaving Customers
2042,Potential Loyalists
2043,Champions
2044,Champions
2045,Leaving Customers
2046,Leaving Customers
2047,Champions
2048,Leaving Customers
2049,Champions
2050,Potential Loyalists
2052,Risky Customers
2054,Risky Customers
2055,Potential Loyalists
2056,Potential Loyalists
2057,Risky Customers
2058,Risky Customers
2059,Champions
2060,Champions
2062,Champions
2064,Champions
2065,Potential Loyalists
2068,Potential Loyalists
2069,Risky Customers
2070,Potential Loyalists
2071,Champions
2072,Potential Loyalists
2073,Risky Customers
2075,Leaving Customers
2076,Champions
2077,Leaving Customers
2078,Potential Loyalists
2079,Risky Customers
2080,Potential Loyalists
2083,Risky Customers
2084,Potential Loyalists
2086,Champions
2087,Risky Customers
2088,Risky Customers
2089,Champions
2090,Leaving Customers
2091,Leaving Customers
2092,Risky Customers
2093,Risky Customers
2095,Champions
2096,Leaving Customers
2097,Champions
2098,Risky Customers
2099,Champions
2100,Champions
2101,Potential Loyalists
2102,Potential Loyalists
2105,Leaving Customers
2106,Leaving Customers
2108,Potential Loyalists
2109,Champions
2110,Risky Customers
2111,Potential Loyalists
2112,Potential Loyalists
2113,Risky Customers
